country,unemp_rate,avg_hrs_worked,latitude,longitude
Austria,6,36.5,47.516231,14.550072
Belgium,7.8,37,50.503887,4.469936
Bulgaria,7.6,40.8,42.733883,25.48583
Croatia,13.1,39.4,45.1,15.2
Cyprus,13,39.2,35.126413,33.429859
Czechia,4,40.3,49.817492,15.472962
Denmark,6.2,32.9,56.26392,9.501785
Estonia,6.8,38.4,58.595272,25.013607
Finland,8.8,36.7,61.92411,25.748151
France,10.1,37.3,46.227638,2.213749
Germany,4.1,35.1,51.165691,10.451526
Greece,23.6,42.3,39.074208,21.824312
Hungary,5.1,39.7,47.162494,19.503304
Iceland,3,39.3,64.963051,-19.020835
Ireland,8.4,35.9,53.41291,-8.24389
Italy,11.7,37,41.87194,12.56738
Latvia,9.6,38.7,56.879635,24.603189
Lithuania,7.9,38.5,55.169438,23.881275
Luxembourg,6.3,37.5,49.815273,6.129583
Malta,4.7,38.7,35.937496,14.375416
Netherlands,6,30.3,52.132633,5.291266
Norway,4.7,33.8,60.472024,8.468946
Poland,6.2,40.7,51.919438,19.145136
Portugal,11.2,39.4,39.399872,-8.224454
Romania,5.9,39.9,45.943161,24.96676
Slovakia,9.7,40.1,48.669026,19.699024
Slovenia,8,39.3,46.151241,14.995463
Spain,19.6,37.7,40.463667,-3.74922
Sweden,7,36.4,60.128161,18.643501
Switzerland,5,34.7,46.818188,8.227512
Turkey,10.9,46.8,38.963745,35.243322
United Kingdom,4.8,36.6,55.378051,-3.435973
